name,category,review.point,price,description
"johnnie walker blue label, 40%",Blended Scotch Whisky,97,225,"magnificently powerful and intense. caramels, dried peats, elegant cigar smoke, seeds scraped from vanilla beans, brand new pencils, peppercorn, coriander seeds, and star anise make for a deeply satisfying nosing experience. silky caramels, bountiful fruits of ripe peach, stewed apple, orange pith, and pervasive smoke with elements of burnt tobacco. an abiding finish of smoke, dry spices, and banoffee pie sweetness. close to perfection. editor's choice"
"black bowmore, 1964 vintage, 42 year old, 40.5%",Single Malt Scotch,97,4500,"what impresses me most is how this whisky evolves; it's incredibly complex. on the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. flavors continue on the palate long after swallowing. this is what we all hope for (and dream of) in an older whisky!"
"bowmore 46 year old (distilled 1964), 42.9%",Single Malt Scotch,97,13500,"there have been some legendary bowmores from the mid-60s and this is every bit their equal. all of them share a remarkable aroma of tropical fruit, which here moves into hallucinatory intensity: guava, mango, peach, pineapple, grapefruit. there’s a very light touch of peat smoke, more a memory of islay than the reality. concentrated; even at low strength the palate is silky, heady, and haunting, and lasts forever in the dry glass. a legend is born. (eight bottles only for the u.s.) editor's choice."
"compass box the general, 53.4%",Blended Malt Scotch Whisky,96,325,"with a name inspired by a 1926 buster keaton movie, only 1,698 bottles produced, and the news that one of the two batches is more than 30 years old, the clues were there that this blend was never going to be cheap. it isn't, but it's superb, rich in flavor that screams dusty old oak office, fresh polish, and sunday church, with spices, oak dried fruits, squiggly raisins, and a surprising melting fruit-and-nut dairy chocolate back story."
"chivas regal ultis, 40%",Blended Malt Scotch Whisky,96,160,"captivating, enticing, and wonderfully charming, this first blended malt from chivas regal contains selections of five speyside malts: strathisla, longmorn, tormore, allt-a-bhainne, and braeval. red apple, cherry, raspberry fudge, peach and mango fruit salad, dusting of cinnamon, and dry heather sprigs. in essence, it’s rich and satisfying, with dark vanilla, apricot, bourneville-covered brazil nuts, and tangerine, smoothed over by caramel and wood spices, maltiness, and gingersnap biscuits. quite heavenly. editor's choice"
"ardbeg corryvreckan, 57.1%",Single Malt Scotch,96,85,"powerful, muscular, well-textured, and invigorating. even within the realm of ardbeg, this one stands out. the more aggressive notes of coal tar, damp kiln, anise, and smoked seaweed are supported by an array of fruit (black raspberry, black cherry, plum), dark chocolate, espresso, molasses, bacon fat, kalamata olive, and warming cinnamon on the finish. quite stunning!"
"gold bowmore, 1964 vintage, 42.4% ",Single Malt Scotch,96,6250,"deep gold color. surprisingly lively on the nose for its age. a complex array of fruit (tangerine, sultana, pink grapefruit, papaya, and the general overall citrus dna that you’ll find in old bowmores), with balancing notes of honey and vanilla. a hint of damp smoke and coconut. just like with black bowmore, this is a texturally soothing whisky on the palate, which continues to evolve in waves -- first the sweet honey, coating vanilla, and lively fruit, then turning quite visceral, with juicy oak, damp earth, deep peat smoke, and charcoal, followed by another wave of fruit (this time, dried fruit), finishing off with subtle charred oak and roasted nuts. this whisky is better than white bowmore, and it falls just short of black bowmore (which i rated 97), because it’s just a bit softer and less vibrant on the palate."
"bowmore, 40 year old, 44.8%",Single Malt Scotch,96,11000,"definitely showing its age, but not in a bad way — the distillery character is still there. solid foundation of thick, chewy toffee, old pot still rum, and fig cake. fruity too, with notes of golden raisin and nectarine. soft, seductive peat smoke, juicy oak, cinnamon, and brine round out the palate. excellent balance! one of the finest bowmore whiskies i’ve ever tasted (and, at this price, will probably never taste again.) (editor's pick) "
"the dalmore, 50 year old, 52.8%",Single Malt Scotch,96,1500,"the dalmore is one of a handful of whiskies that seem to be able to age in the cask for many decades and still improve. this one is incredibly viscous on the nose and palate (and very heavy on the tongue), with chewy toffee and old pot still rum. the classic dalmore marmalade note shines throughout, along with vanilla cream, an array of dried spices (especially cinnamon and evergreen), juicy oak, forest bedding, rancio, old armagnac, polished leather, tobacco, maple syrup, dark chocolate, almond macaroon, and subtle espresso. long, mouth-coating finish. the flavors evolve like waves lapping on the palate -- especially the interplay with the oak. i can’t drink this whisky slowly enough. a rare experience for the lucky few who can afford it. (price is per 100ml)."
"glenfarclas family casks 1954 cask #1260, 47.2%",Single Malt Scotch,96,3360,"a rich amber color and elegantly oxidized notes greet you. there are luscious old fruits—pineapple, dried peach, apricot—and puffs of coal-like smokiness. in time, sweet spices (cumin especially) emerge. superbly balanced. the palate, while fragile, still has real sweetness alongside a lick of treacle. it can take a drop of water, allowing richer, darker fruits to emerge. the finish is powerful, long, and resonant. superb, not over-wooded, and a fair price for such a rarity. £1,995"
