name,category,review.point,price,description,percent
"johnnie walker blue label, 40%",Blended Scotch Whisky,97,225.0,magnificently powerful and intense caramels dried peats elegant cigar smoke seeds scraped from vanilla beans brand new pencils peppercorn coriander seeds and star anise make for a deeply satisfying nosing experience silky caramels bountiful fruits of ripe peach stewed apple orange pith and pervasive smoke with elements of burnt tobacco an abiding finish of smoke dry spices and banoffee pie sweetness close to perfection editor's choice,40.0
"black bowmore, 1964 vintage, 42 year old, 40.5%",Single Malt Scotch,97,4500.0,what impresses me most is how this whisky evolves it's incredibly complex on the nose and palate this is a thick viscous whisky with notes of sticky toffee earthy oak fig cake roasted nuts fallen fruit pancake batter black cherry ripe peach dark chocolatecovered espresso bean polished leather tobacco a hint of wild game and lingering leafy damp kiln smoke flavors continue on the palate long after swallowing this is what we all hope for and dream of in an older whisky,40.5
"bowmore 46 year old distilled 1964, 42.9%",Single Malt Scotch,97,13500.0,there have been some legendary bowmores from the mid60s and this is every bit their equal all of them share a remarkable aroma of tropical fruit which here moves into hallucinatory intensity guava mango peach pineapple grapefruit there’s a very light touch of peat smoke more a memory of islay than the reality concentrated even at low strength the palate is silky heady and haunting and lasts forever in the dry glass a legend is born eight bottles only for the us editor's choice,42.9
"compass box the general, 53.4%",Blended Malt Scotch Whisky,96,325.0,with a name inspired by a 1926 buster keaton movie only 1698 bottles produced and the news that one of the two batches is more than 30 years old the clues were there that this blend was never going to be cheap it isn't but it's superb rich in flavor that screams dusty old oak office fresh polish and sunday church with spices oak dried fruits squiggly raisins and a surprising melting fruitandnut dairy chocolate back story,53.4
"chivas regal ultis, 40%",Blended Malt Scotch Whisky,96,160.0,captivating enticing and wonderfully charming this first blended malt from chivas regal contains selections of five speyside malts strathisla longmorn tormore alltabhainne and braeval red apple cherry raspberry fudge peach and mango fruit salad dusting of cinnamon and dry heather sprigs in essence it’s rich and satisfying with dark vanilla apricot bournevillecovered brazil nuts and tangerine smoothed over by caramel and wood spices maltiness and gingersnap biscuits quite heavenly editor's choice,40.0
"ardbeg corryvreckan, 57.1%",Single Malt Scotch,96,85.0,powerful muscular welltextured and invigorating even within the realm of ardbeg this one stands out the more aggressive notes of coal tar damp kiln anise and smoked seaweed are supported by an array of fruit black raspberry black cherry plum dark chocolate espresso molasses bacon fat kalamata olive and warming cinnamon on the finish quite stunning,57.1
"gold bowmore, 1964 vintage, 42.4% ",Single Malt Scotch,96,6250.0,deep gold color surprisingly lively on the nose for its age a complex array of fruit tangerine sultana pink grapefruit papaya and the general overall citrus dna that you’ll find in old bowmores with balancing notes of honey and vanilla a hint of damp smoke and coconut just like with black bowmore this is a texturally soothing whisky on the palate which continues to evolve in waves  first the sweet honey coating vanilla and lively fruit then turning quite visceral with juicy oak damp earth deep peat smoke and charcoal followed by another wave of fruit this time dried fruit finishing off with subtle charred oak and roasted nuts this whisky is better than white bowmore and it falls just short of black bowmore which i rated 97 because it’s just a bit softer and less vibrant on the palate,42.4
"bowmore, 40 year old, 44.8%",Single Malt Scotch,96,11000.0,definitely showing its age but not in a bad way  the distillery character is still there solid foundation of thick chewy toffee old pot still rum and fig cake fruity too with notes of golden raisin and nectarine soft seductive peat smoke juicy oak cinnamon and brine round out the palate excellent balance one of the finest bowmore whiskies i’ve ever tasted and at this price will probably never taste again editor's pick ,44.8
"the dalmore, 50 year old, 52.8%",Single Malt Scotch,96,1500.0,the dalmore is one of a handful of whiskies that seem to be able to age in the cask for many decades and still improve this one is incredibly viscous on the nose and palate and very heavy on the tongue with chewy toffee and old pot still rum the classic dalmore marmalade note shines throughout along with vanilla cream an array of dried spices especially cinnamon and evergreen juicy oak forest bedding rancio old armagnac polished leather tobacco maple syrup dark chocolate almond macaroon and subtle espresso long mouthcoating finish the flavors evolve like waves lapping on the palate  especially the interplay with the oak i can’t drink this whisky slowly enough a rare experience for the lucky few who can afford it price is per 100ml,52.8
"glenfarclas family casks 1954 cask #1260, 47.2%",Single Malt Scotch,96,3360.0,a rich amber color and elegantly oxidized notes greet you there are luscious old fruitspineapple dried peach apricotand puffs of coallike smokiness in time sweet spices cumin especially emerge superbly balanced the palate while fragile still has real sweetness alongside a lick of treacle it can take a drop of water allowing richer darker fruits to emerge the finish is powerful long and resonant superb not overwooded and a fair price for such a rarity £1995,47.2
"the glenlivet cellar collection, 1969 vintage, 50.8%",Single Malt Scotch,96,750.0,it’s great that glenlivet releases whiskies under the 'cellar collection' label it really shows the true potential of glenlivet this bottling is classic ultramatured glenlivet and rivals the 1959 vintage cellar collection as the best one ever an incredibly complex whisky with notes of vanilla ripe barley coconut and caramel all this is accentuated by glazed orange hazelnut and a potpourri of dried spices not the least bit tired for such an aged whisky only 800 bottles for the us,50.8
"macallan 1976 vintage, 29 year old, cask #11354, 45.4%",Single Malt Scotch,96,1500.0,"classic sherry caskaged macallan antique amber with hints of ruby thickly textured complex and quite deep with notes of toffee ripe pit fruit raisin apple pie dried spice cinnamon clove ginger and mint and a wisp of smoke an exceptional multifaceted macallan 
",45.4
"the last drop distilled at lochside 1972 cask 346, 44%",Grain Scotch Whisky,96,3108.0,a remarkable beauty from the angus town of montrose the elegant nose shows a dram at peace with itself golden syrup hay bales ground hazelnut liquid honey french baguette high mountain oolong and rubbed spice blends refreshing palate of honey toffee citrus honeycomb wax and a profusion of sweet vanilla rich sweet oak and deep pepper notes to finish truly a sublime and venerable grain 106 bottles £2400,44.0
"compass box flaming heart 10th anniversary bottling, 48.9%",Blended Malt Scotch Whisky,95,105.0,a marriage of three different single malts aged in american and french oak this whisky shows the advantage of marrying whiskies from more than one distillery when properly done vibrant with a complex array of fruit orchard fruit sultana sweetness light toffee marzipan honeyed malt spice creamy vanilla mocha warming pepper smoke tar smoked olive coal and lesser notes of toasted almond and beach pebbles more smoke and tar on the palate than the nose yet always in balance well played editor's choice,48.9
